"","country","countrynumber","year","legelec","preselec","regime","regime_leg","eighties","nineties","old","avemag","districts","eneg","enep","enep_others","enep1","enpp","enpp_others","enpp1","enpres","medmag","newdem","proximity1","proximity2","seats","upperseats","uppertier","twoelections","twoelections1"
"63","Austria",101,1983,1,0,0,0,0,0,1,20.33,9,1.14368,2.4,0.2,2.4,2.26,0,2.26,1.5,28,0,0,0,183,19,10.38,0,0
"64","Austria",101,1986,1,1,0,0,1,0,1,20.33,9,1.14368,2.72,0.3,2.72,2.63,0,2.63,2.27,29,0,1,1,183,21,11.48,0,0
"65","Austria",101,1990,1,0,0,0,0,0,1,20.33,9,1.14368,3.17,0.5,3.17,2.99,0,2.99,2.27,28,0,0.33,0,183,25,13.66,0,0
"66","Austria",101,1994,1,0,0,0,0,0,1,4.26,43,1.14368,3.87,0,3.87,3.73,0,3.73,2.99,3,0,0.33,0,183,92,50.27,0,0
"67","Austria",101,1995,1,0,0,0,0,1,1,4.26,43,1.14368,3.59,0,3.59,3.49,0,3.49,2.99,5,0,0,0,183,86,46.99,0,0
"68","Austria",101,1999,1,0,0,0,0,0,1,4.26,43,1.14368,3.82,0,3.82,3.41,0,3.41,2.26,5,0,0.66,0,183,84,45.9,0,0
"69","Bahamas, The",49,1977,1,0,0,0,0,0,1,1,38,NA,2.52,2.7,2.52,1.53,0,1.53,0,1,1,0,0,38,0,0,0,0
"70","Bahamas, The",49,1982,1,0,0,0,0,0,1,1,43,NA,2.03,1.7,2.03,1.62,0,1.62,0,1,0,0,0,43,0,0,0,0
"71","Bahamas, The",49,1987,1,0,0,0,1,0,1,1,49,NA,2.11,3.1,2.11,1.96,4.1,1.97,0,1,0,0,0,49,0,0,0,0
"72","Bahamas, The",49,1992,1,0,0,0,0,0,1,1,49,NA,1.99,0,1.99,1.79,0,1.79,0,1,0,0,0,49,0,0,0,0
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Barbados",50,1966,1,0,0,0,0,0,1,2,12,NA,2.72,7.3,2.76,2.18,8.3,2.2,0,2,1,0,0,24,0,0,0,0
"78","Barbados",50,1971,1,0,0,0,0,0,1,1,24,NA,1.96,0.2,1.96,1.6,0,1.6,0,1,0,0,0,24,0,0,0,0
"79","Barbados",50,1976,1,0,0,0,0,0,1,1,24,NA,2.03,0.3,2.03,1.7,0,1.7,0,1,0,0,0,24,0,0,0,0
"80","Barbados",50,1981,1,0,0,0,0,0,1,1,27,NA,2.02,0.7,2.02,1.87,0,1.87,0,1,0,0,0,27,0,0,0,0
"81","Barbados",50,1986,1,0,0,0,1,0,1,1,27,NA,1.93,0.2,1.93,1.25,0,1.25,0,1,0,0,0,27,0,0,0,0
"82","Barbados",50,1991,1,0,0,0,0,0,1,1,28,NA,2.29,0.4,2.29,1.85,0,1.85,0,1,0,0,0,28,0,0,0,0
"83","Barbados",50,1994,1,0,0,0,0,1,1,1,28,NA,2.48,0.4,2.48,1.84,0,1.84,0,1,0,0,0,28,0,0,0,0
"84","Barbados",50,1999,1,0,0,0,0,0,1,1,28,NA,1.84,0,1.84,1.15,0,1.15,0,1,0,0,0,28,0,0,0,0
"85","Belgium",102,1946,1,0,0,0,0,0,1,6.73,30,2.30947,3.28,0.5,3.28,2.91,0,2.91,0,6,0,0,0,202,NA,NA,0,0
"86","Belgium",102,1949,1,0,0,0,0,0,1,7.1,30,2.30947,3.26,1.8,3.26,2.75,0,2.75,0,6,0,0,0,212,NA,NA,0,0
"87","Belgium",102,1950,1,0,0,0,0,0,1,7.1,30,2.30947,2.76,0,2.76,2.5,0,2.5,0,6,0,0,0,212,NA,NA,0,0
"88","Belgium",102,1954,1,0,0,0,0,0,1,7.1,30,2.30947,3.08,0.6,3.08,2.63,0,2.63,0,6,0,0,0,212,NA,NA,0,0
"89","Belgium",102,1958,1,0,0,0,0,0,1,7.1,30,2.30947,2.79,0.7,2.79,2.45,0,2.45,0,6,0,0,0,212,NA,NA,0,0
"90","Belgium",102,1961,1,0,0,0,0,0,1,7.1,30,2.30947,3.08,2.1,3.08,2.69,0.5,2.69,0,6,0,0,0,212,NA,NA,0,0
"91","Belgium",102,1965,1,0,0,0,0,0,1,7.1,30,2.30947,3.96,2,3.96,3.59,0,3.59,0,7,0,0,0,212,NA,NA,0,0
"92","Belgium",102,1968,1,0,0,0,0,0,1,7.1,30,2.30947,6.92,0.3,6.92,6.57,0,6.57,0,7,0,0,0,212,NA,NA,0,0
"93","Belgium",102,1971,1,0,0,0,0,0,1,7.1,30,2.30947,6.41,0.7,6.42,5.89,0,5.89,0,7,0,0,0,212,NA,NA,0,0
"94","Belgium",102,1974,1,0,0,0,0,0,1,7.1,30,2.30947,6.1,0.9,6.1,5.85,0,5.85,0,7,0,0,0,212,NA,NA,0,0
"95","Belgium",102,1977,1,0,0,0,0,0,1,7.1,30,2.30947,5.7,0.2,5.7,5.26,0,5.26,0,7,0,0,0,212,NA,NA,0,0
"96","Belgium",102,1978,1,0,0,0,0,0,1,7.1,30,2.30947,7.52,0.4,7.52,6.79,0,6.79,0,7,0,0,0,212,NA,NA,0,0
"97","Belgium",102,1981,1,0,0,0,0,0,1,7.1,30,2.30947,8.99,1,9,7.63,0,7.63,0,7,0,0,0,212,NA,NA,0,0
"98","Belgium",102,1985,1,0,0,0,1,0,1,7.1,30,2.30947,8.13,1.2,8.14,7.01,0,7.01,0,8,0,0,0,212,NA,NA,0,0
"99","Belgium",102,1987,1,0,0,0,0,0,1,7.1,30,2.30947,8.12,0.4,8.12,7.13,0,7.13,0,8,0,0,0,212,NA,NA,0,0
"100","Belgium",102,1991,1,0,0,0,0,0,1,7.1,30,2.30947,9.81,0.5,9.81,8.41,0,8.41,0,8,0,0,0,212,NA,NA,0,0
"101","Belgium",102,1995,1,0,0,0,0,1,1,7.5,20,2.30947,9.35,0.7,9.35,8.05,0,8.05,0,9,0,0,0,150,NA,NA,0,0
"102","Belgium",102,1999,1,0,0,0,0,0,1,7.5,20,2.30947,10.29,0,10.29,9.05,0,9.05,0,9,0,0,0,150,NA,NA,0,0
"103","Belize",51,1984,1,0,0,0,1,0,1,1,28,NA,2.06,0.4,2.06,1.6,0,1.6,0,1,1,0,0,28,0,0,0,0
"104","Belize",51,1989,1,0,0,0,0,0,1,1,28,NA,2.07,0.1,2.07,1.99,0,1.99,0,1,0,0,0,28,0,0,0,0
"105","Belize",51,1993,1,0,0,0,0,1,1,1,29,NA,2.03,0.1,2.03,1.98,0,1.98,0,1,0,0,0,29,0,0,0,0
"106","Belize",51,1998,1,0,0,0,0,0,1,1,29,NA,1.98,0.4,1.98,1.23,0,1.23,0,1,0,0,0,29,0,0,0,0
"116","Brazil",68,1947,1,0,0,0,0,0,1,13,22,2.21976,3.59,0,3.59,2.65,NA,NA,2.3,NA,0,0.2,0,286,0,0,0,0
"117","Brazil",68,1950,1,1,0,0,0,0,1,12.16,25,2.21976,7.11,0,7.11,4.11,0,4.11,2.68,NA,0,1,1,304,0,0,0,0
"118","Brazil",68,1954,1,0,0,0,0,0,1,13.04,25,2.21976,8.69,0,8.69,4.59,1.8,4.59,2.68,NA,0,0.6,0,326,0,0,0,0
"119","Brazil",68,1958,1,0,0,0,0,0,1,13.04,25,2.21976,9.82,0,9.82,3.64,23,4.49,2.97,NA,0,0.2,0,326,0,0,0,0
"120","Brazil",68,1962,1,0,0,0,0,0,1,15.56,25,2.21976,11.17,0,11.17,4.05,16.5,4.56,2.65,NA,0,0.2,0,389,0,0,0,0
"121","Brazil",68,1982,1,0,0,0,0,0,1,19.16,25,2.21976,2.65,0,2.65,2.39,0,2.39,0,32,1,0,0,479,0,0,0,0
"122","Brazil",68,1986,1,0,0,0,1,0,1,18.73,26,2.21976,3.55,1.52,3.555,2.83,0,2.83,0,30,0,0,0,487,0,0,0,0
"123","Brazil",68,1990,1,0,0,0,0,0,1,18.63,27,2.21976,9.79,0.76,9.79,8.69,0,8.69,5.69,30,0,0.6,0,503,0,0,0,0
"124","Brazil",68,1994,1,1,0,0,0,1,1,19,27,2.21976,8.53,0.15,8.53,8.16,0,8.16,2.65,30,0,1,1,513,0,0,0,0
"125","Brazil",68,1998,1,1,0,0,0,0,1,19,27,2.21976,8.14,1.14,8.14,7.11,0,7.11,2.53,30,0,1,1,513,0,0,0,0
"130","Canada",52,1949,1,0,0,0,0,0,1,1,262,2.47733,2.83,3.1,2.835,1.75,1.9,1.75,0,1,0,0,0,262,0,0,0,0
"131","Canada",52,1953,1,0,0,0,0,0,1,1,265,2.47733,2.85,2.5,2.855,2.15,1.9,2.16,0,1,0,0,0,265,0,0,0,0
"132","Canada",52,1957,1,0,0,0,0,0,1,1,265,2.47733,2.98,2.7,2.99,2.86,1.5,2.86,0,1,0,0,0,265,0,0,0,0
"133","Canada",52,1958,1,0,0,0,0,0,1,1,265,2.47733,2.44,0.6,2.44,1.54,0,1.54,0,1,0,0,0,265,0,0,0,0
"134","Canada",52,1962,1,0,0,0,0,0,1,1,265,2.47733,3.23,0.3,3.23,2.84,0,2.84,0,1,0,0,0,265,0,0,0,0
"135","Canada",52,1963,1,0,0,0,0,0,1,1,265,2.47733,3.2,0.3,3.2,2.65,0,2.65,0,1,0,0,0,265,0,0,0,0
"136","Canada",52,1965,1,0,0,0,0,0,1,1,265,2.47733,3.31,1.1,3.31,2.59,0.8,2.59,0,1,0,0,0,265,0,0,0,0
"137","Canada",52,1968,1,0,0,0,0,0,1,1,264,2.47733,2.97,0.8,2.97,2.33,0.4,2.33,0,1,0,0,0,264,0,0,0,0
"138","Canada",52,1972,1,0,0,0,0,0,1,1,264,2.47733,3.25,1.1,3.25,2.84,0.8,2.84,0,1,0,0,0,264,0,0,0,0
"139","Canada",52,1974,1,0,0,0,0,0,1,1,264,2.47733,2.96,0.8,2.96,2.38,0.4,2.38,0,1,0,0,0,264,0,0,0,0
"140","Canada",52,1979,1,0,0,0,0,0,1,1,282,2.47733,3.09,0.9,3.09,2.45,0,2.45,0,1,0,0,0,282,0,0,0,0
"141","Canada",52,1980,1,0,0,0,0,0,1,1,282,2.47733,2.93,0.7,2.93,2.4,0,2.4,0,1,0,0,0,282,0,0,0,0
"142","Canada",52,1984,1,0,0,0,1,0,1,1,282,2.47733,2.75,0.7,2.75,1.69,0.4,1.69,0,1,0,0,0,282,0,0,0,0
"143","Canada",52,1988,1,0,0,0,0,0,1,1,295,2.47733,3.04,1.4,3.04,2.33,0,2.33,0,1,0,0,0,295,0,0,0,0
"144","Canada",52,1993,1,0,0,0,0,1,1,1,295,2.47733,3.92,3.6,3.93,2.35,0,2.35,0,1,0,0,0,295,0,0,0,0
"145","Canada",52,1997,1,0,0,0,0,1,1,1,301,2.47733,4.08,1.6,4.085,2.98,0.3,2.98,0,1,0,0,0,301,0,0,0,0
"146","Canada",52,2000,1,0,0,0,0,0,1,1,301,2.47733,3.77,1.5,3.77,2.54,0,2.54,0,1,0,0,0,301,0,0,0,0
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Chile",69,1949,1,0,0,0,0,0,1,5.25,28,1.98807,7.05,0,7.05,6.04,2,6.05,1.97,NA,0,0,0,147,0,0,0,0
"152","Chile",69,1953,1,0,0,0,0,0,1,5.25,28,1.98807,11.56,4.9,11.88,9.02,0.7,9.02,2.95,NA,0,0.67,0,147,0,0,0,0
"153","Chile",69,1957,1,0,0,0,0,0,1,5.25,28,1.98807,8.59,2,8.62,6.74,1.4,6.75,2.95,NA,0,0.67,0,147,0,0,0,0
"154","Chile",69,1961,1,0,0,0,0,0,1,5.25,28,1.98807,6.44,0.2,6.44,5.9,0,5.9,3.97,6,0,0,0,147,0,0,0,0
"155","Chile",69,1965,1,0,0,0,0,0,1,5.25,28,1.98807,4.06,0.2,4.06,2.8,0,2.8,2.14,NA,0,0.67,0,147,0,0,0,0
"156","Chile",69,1969,1,0,0,0,0,0,1,5.36,28,1.98807,4.92,0.1,4.92,4.09,0,4.09,2.14,NA,0,0.67,0,150,0,0,0,0
"157","Chile",69,1973,1,0,1,0,0,0,1,5.24,29,1.98807,5.3,0,5.3,5.12,5.1,5.18,2.96,NA,0,0.67,0,152,0,0,0,0
"160","Colombia",70,1947,1,0,0,0,0,0,1,NA,NA,2.90698,2.01,0,2.01,1.97,0,1.97,2.9,NA,0,0.33,0,131,0,0,0,0
"161","Colombia",70,1949,1,1,1,0,0,0,1,NA,NA,2.90698,2.01,0,2.01,2,0,2,NA,NA,0,1,1,132,0,0,0,0
"169","Colombia",70,1974,1,1,0,0,0,0,1,7.65,26,2.90698,2.37,0,2.37,2.29,0,2.29,2.35,NA,0,1,1,199,0,0,0,0
"170","Colombia",70,1978,1,1,0,0,0,0,1,7.65,26,2.90698,2.17,1.19,2.17,2.06,0,2.06,2.16,NA,0,1,1,199,0,0,0,0
"171","Colombia",70,1982,1,1,0,0,0,0,1,7.65,26,2.90698,2.08,0.94,2.08,1.98,0,1.98,2.5,NA,0,1,1,199,0,0,0,0
"172","Colombia",70,1986,1,1,0,0,1,0,1,7.65,26,2.90698,2.66,6.44,2.685,2.45,5.5,2.47,2.1,8,0,1,1,199,0,0,0,0
"173","Colombia",70,1990,1,1,0,0,0,0,1,7.65,26,2.90698,2.2,7.05,2.23,2.17,7,2.2,3.04,9,0,1,1,199,0,0,0,0
"174","Colombia",70,1991,1,0,0,0,0,0,1,4.88,33,2.90698,3.3,4.78,3.33,2.99,2.5,3,3.04,6,0,0.5,0,161,0,0,0,0
"175","Colombia",70,1994,1,1,0,0,0,1,1,4.88,33,2.90698,2.64,6.64,2.67,2.75,7.4,2.79,2.41,6,0,1,1,161,0,0,0,0
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Costa Rica",53,1953,1,1,0,0,0,0,1,6.43,7,1.31165,2.11,0,2.11,1.97,0,1.97,1.84,NA,1,1,1,45,0,0,0,0
"184","Costa Rica",53,1958,1,1,0,0,0,0,1,6.43,7,1.31165,3.57,1.4,3.57,3.22,0,3.22,2.44,NA,0,1,1,45,0,0,0,0
"185","Costa Rica",53,1962,1,1,0,0,0,0,1,8.14,7,1.31165,2.71,1,2.71,2.61,0,2.61,2.52,NA,0,1,1,57,0,0,0,0
"186","Costa Rica",53,1966,1,1,0,0,0,0,1,8.14,7,1.31165,2.33,0,2.33,2.14,0,2.14,1.9998,NA,0,1,1,57,0,0,0,0
"187","Costa Rica",53,1970,1,1,0,0,0,0,1,8.14,7,1.31165,2.56,0.5,2.56,2.15,0,2.15,2.13,NA,0,1,1,57,0,0,0,0
"188","Costa Rica",53,1974,1,1,0,0,0,0,1,8.14,7,1.31165,4.01,1.2,4.01,3.13,0,3.13,3.3,NA,0,1,1,57,0,0,0,0
"189","Costa Rica",53,1978,1,1,0,0,0,0,1,8.14,7,1.31165,2.88,3,2.88,2.38,0,2.38,2.23,NA,0,1,1,57,0,0,0,0
"190","Costa Rica",53,1982,1,1,0,0,0,0,1,8.14,7,1.31165,2.53,0.98,2.53,2.27,0,2.27,2.17,NA,0,1,1,57,0,0,0,0
"191","Costa Rica",53,1986,1,1,0,0,1,0,1,8.14,7,1.31165,2.48,1.8,2.485,2.21,0,2.21,2.07,10,0,1,1,57,0,0,0,0
"192","Costa Rica",53,1990,1,1,0,0,0,0,1,8.14,7,1.31165,2.55,3.12,2.56,2.21,0,2.21,2.05,10,0,1,1,57,0,0,0,0
"193","Costa Rica",53,1994,1,1,0,0,0,1,1,8.14,7,1.31165,2.77,3.71,2.78,2.29,0,2.29,2.11,10,0,1,1,57,0,0,0,0
"194","Costa Rica",53,1998,1,1,0,0,0,0,1,8.14,7,1.31165,3.35,4.23,3.37,2.56,0,2.56,2.38,10,0,1,1,57,0,0,0,0
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Cyprus",187,1970,1,0,0,0,0,0,1,5.83,6,1.56055,3.5,5.1,3.515,3.37,5.7,3.39,1.08,NA,0,0.73,0,35,0,0,0,0
"203","Cyprus",187,1976,1,0,0,0,0,0,1,5.83,6,1.56055,1.83,6.4,1.84,1.06,0,1.06,1.08,NA,0,0.07,0,35,0,0,0,0
"204","Cyprus",187,1981,1,0,0,0,1,0,1,5.83,6,1.56055,3.85,7.6,3.895,3.39,0,3.45,1.08,NA,0,0.73,0,35,0,0,0,0
"209","Denmark",105,1947,1,0,0,0,0,0,1,5.09,23,1.14619,3.8,0.2,3.8,3.56,0,3.56,0,6,0,0,0,148,31,20.9,0,0
